Metin,Durum,Temiz
ürün güzel beklediğim gibi geldi çocuklarım severek kullanıyor teşekkür ederiz,0,ürün güzel bekle gel çocuk sev kullan teşekkür
fiyatina gore gayet iyi. urun anlatildigi gibi geldi,0,fiyatina gore gayet iyi ur anlatildigi gel
Öğrenci için ideal bir ürün... Ofis için düşünmeyin ürünü... Çok kaliteli değil ama idare eder...,0,öğrenci için ideal ürün ofis için düşün ürün çok kalite değil idare
Üçrete göre ürün güzel. Yapılışıda kolaydı ama çok geç geldi,2,üçrete göre ürün güzel kolay çok geç gel
yedi yasinda oglum icin aldim tam ona goreymis tesekkurler trendyol,1,yasinda oglum icin aldim goreymis tesekkurler trendyol
fiyatina gore nornal çok lüx birşey beklemeyin. rahat sikinti yok. goruntu siradan.,2,fiyatina gore nornal çok lüx birşey bekle rahat sikinti yok goruntu siradan
"Ürün güzel fakat yapım asamasinda tekerlekleri takamadık, zor...",2,ürün güzel yapım asamasinda tekerlek tak zor
Hızlı teslimat. Güzel paketleme. Göründüğü gibi öneririm.,1,hız teslimat güzel paketle görün öner
Kaliteli ürün yumuşak derisi var masaya uygun boyu var ayalalanabilir ömürlük kullanın,1,kalite ürün yumuşak deri masa uygun boy ayalalan ömür kullan
idare eder fiyatına gore,2,idare fiyat gore
"Kurulumu kolay,kullanışlı",1,kurul kolay kullan
Rahatsız olduğu için çok iyi ders çalışıyorum,1,rahat için çok iyi ders çalış
Ürün göründüğşnden daha küçük. Kalite iyi,1,ürün göründüğşnden küçük kalite iyi
göründüğü gibi hızlı kargo için teşekkürler,1,görün hız kargo için teşekkür
Biraz geç geldi onun dışında resimdeki gibi,2,geç gel dış resim
Çok beğendim. Tavsiye ediyorum,1,çok beğen tavsiye
Şimdilik iyi duruyor. Görüntü tamam.,1,şimdilik iyi dur görüntü
sıkıntısız ulaştı oğlumun odasında yerini aldı,1,sıkıntı ulaş oğul oda yer al
"F/p ürünü, güzel görünüyor ama biraz sert",2,f p ürün güzel görün sert
Oturacak yeri biraz küçük ona göre alın derim,0,otur yer küçük göre al
Ürünü beğendik kurulumuda kolaydı teşekkürler,1,ürün beğen kurul kolay teşekkür
urun cok gec gelmesi dışında göründüğü gibi,2,ur gec gel dış görün
Fevkaladenin fevkinde??,1,fevkalade fevk
"Kurulumu kolay, memnun kaldım.",1,kurul kolay memnun kal
Ürün çok kaliteli kurulumu kolay,1,ürün çok kalite kurul kolay
mükemmel beklediğimden cok çok iyi,1,mükemmel bekle çok iyi
beklediğimden daha iyi geldi,1,bekle iyi gel
"ürünü beğendim , herkese tercih ederim",1,ürün beğen tercih
çok güzel ama tekerlekleri biraz zor takılıyor,2,çok güzel tekerlek zor takıl
Ürün kaliteli beklediğimiz gibi geldi,1,ürün kalite bekle gel
"Hızlı teslimat, memnun kaldım",1,hız teslimat memnun kal
çok iyi bir sandalye beğendim,1,çok iyi sandalye beğen
Fiyat performans ürünü.,1,fiyat performans ürün
teşekkürler düzgün ürün hızlı kargo,1,teşekkür düzgün ürün hız kargo
Ürün güzel tşk ederim,1,ürün güzel tşk
montajdan 2 hafta sonra kırıldı kimseye tavsiye etmem,0,montaj hafta kır tavsiye
Ürün kaliteli beklediğimiz gibi geldi,1,ürün kalite bekle gel
Çok güzel beğendim paketleme sistemi harika,1,çok güzel beğen paketle sistem harika
mükemmel beklediğimden cok çok iyi,1,mükemmel bekle çok iyi
Gayet güzel kaliteli alın,1,gayet güzel kalite al
7 yaş kızım için aldım bu yaş grubana ideal,1,yaş kız için al yaş grubana ideal
iademi yaptığınız için teşekkürler,2,iade için teşekkür
Çok kullanışlı ve rahat,1,çok kullan rahat
Zamaninda geldi ve gayet de gözel tavsiye ederim.,1,zamaninda gel gayet gözel tavsiye
fiyatina gore iyi bir urun sahlam geldi,1,fiyatina gore iyi ur sahlam gel
beğendim tam istediğim gibi,1,beğen iste
kucuk ama idare eder,2,kucuk idare
çok hoş ve güzel.,1,çok hoş güzel
Beğendik ideal,1,beğen ideal
Çok iyi ????,1,çok iyi
İş görüyor,1,iş gör
Harika bir ürün ??,1,harika ürün
Güzel kullanışlı,1,güzel kullan
Güzel geldi,1,güzel gel
çok kullanışlı,1,çok kullan
Gayet kullanışlı..,1,gayet kullan
fiyatına göre gayet iyi kilonuz fazlaysa tavsiye etmem,2,fiyat göre gayet iyi kilo fazla tavsiye
beklediğimden küçüktü ama kaliteli,2,bekle küçük kalite
göründüğünden biraz küçük ama kalite iyi,2,görün küçük kalite iyi
"Ürün fiyatına göre iyi, çok kalite beklemeyin. Ancak bu fiyata alınabilecek bir ürün.",2,ürün fiyat göre iyi çok kalite bekle fiyat alın ürün
Sırtı birazcık dik duruyor ama fiyatına gore harika????,1,sırt birazcık dik dur fiyat gore harika
"Hem fiyat , hem kalitesi açısında gayet güzel beğendim. Teşekkürler",1,fiyat kalite açı gayet güzel beğen teşekkür
kalitesi çok kötü deri koltuk hiç rahat değil süngeri cok ince rahatsiz oluyorsun oturunca icinde fatura yok kurulum şeması yokdu iade ettim,0,kalite çok kötü deri koltuk hiç rahat değil sünger ince rahatsiz otur icinde fatura yok kurul şema yokdu iade
Ürün sipariş verdiğim tarihten tam 1 ay sonra elime ulaştı.Teslimat gecikti.Paketleme inanılmaz özensiz sadece patpat plastik ile sarılmış sağı solu delinmiş şekilde geldi ve toz pis içindeydi.Büyükler azıcık fazla kilolu insanlar asla sığmaz.Oturma yeri küçük.Ancak Çocuklar ders çalışırken bilgisayar kullanırken oturabilirler.Oturma yeri ve yaslanma yerini bağlayan akordeon çok kötü bir plastikten yapılmış çirkin duruyor.Plastik yerleri kalitesiz plastikten yapılmış.1 ay bekledi oğlum hevesle kurdum fakat beğenmedim içime sinmedi.Oğlum kullanmak istedi bu yüzden iade etmeyeceğim.Almak isteyenlere tavsiye etmiyorum.Ayrıca bu firmadan bir daha alışveriş yapmayı düşünmüyorum.,0,ürün sipariş ver tarih ay el ulaş teslimat gecik paketle inanılmaz özen sadece patpat plastik sar sağ sol del şekil gel toz pis iç büyük azıcık fazla kilo insan sığ otur yer küçük çocuk ders çalış bilgisayar kullan otur otur yer yasla yer bağla akordeon çok kötü plastik çirkin dur plastik yer kalite plastik ay bekle oğul heves kur beğen iç sin oğul kullan iste yüz iade al iste tavsiye ayrıca firma alışveriş düşün
Sandalye kırık geldi. İhtiyacım olmasa iade edecektim. Kısa süre kullanıp çöpe atılacak bir ürün. Görseldeki gibi de değil. Eksik parçaları saymıyorum bile,0,sandalye kırık gel ihtiyaç iade kısa süre kullan çöp at ürün görsel değil eksik parça say
Ürünün sünger bölümü deriden kaplama yapılmış. Bu da uzun süre oturmalarda terleme yapacağından iade ediyorum. Çok kaliteli bişi beklemeyin. Ben hiç beğenmedim maalesef. Ben bunun iadesini gerçekleştirdikten sonra gidip sandalyemi kendi yerinden çeşitlerine bakarak dokunarak görerek içime sine sine almaya karar verdim. Görseller ve yorumlar oldukça yanıltıcı.,0,ürün sünger bölüm deri kaplama uzun süre otur terle iade çok kalite bişi bekle hiç beğen maalesef iade gerçekleştirdikten git sandalye yer çeşit bak dokun gör iç sine sine al karar ver görsel yorum oldukça yanıltıcı
Fiyatına göre oldukça güzel ve sağlam,1,fiyat göre oldukça güzel sağlam
"Ürün çok kaliteli değil,içinden montajı için gerekli vidaları bile çïkmadı kendimiz vida bulmak zorunda kaldık.paketlemede çok düzgün değildi.",0,ürün çok kalite değil iç montaj için vida ç kmadı vida bul zor kal paketle çok düzgün değ
Ürün geçte olsa geldi. Fakat peketleme çok çok çok kötü en azından bir kutuda olabilirdi. Fiyatı ürüne göre çok. Ama uzun vadeli olmasada kullanılabilir.,0,ürün geç gel peketleme çok çok çok kötü kutu fiyat ürün göre çok uzun vade olmasada kullan
fena değil ama çok küçük ebatı küçük çocuk koltuğu gibi fena sayılmaz paketleme daha düzenli olabilirdi,0,fena değil çok küçük ebatı küçük çocuk koltuk fena say paketle düzen
"Paketleme hiç güzel değildi. Kurulum da kolaydı ama ilk başta biraz düşündürdü. Kurulumu gösteren bi kağıt vardır diye düşünmüştüm ama yoktu. Küçük ve sert. Arkaya doğru yaslanılmıyor, dik. Sanırım iade edeceğim",0,paketle hiç güzel değ kurul kolay ilk baş düşün kurul göster kağıt düşün yok küçük sert arka doğru yaslan dik san iade
Yorumlara güvenip aldım ama plastiği çok kalitesiz daha kurulumu yaparken çatladı kurulumu yapmak da kolay olmadı bir öğrenci olarak ama kargo hızlıydı,0,yorum güven al plastik çok kalite kurul çatla kurul kolay öğrenci kargo hız
"Üründen kalite beklentiniz varsa, yanlış tercih. İndirimsiz diye gösterilen fiyata kesinlikle alınmaz, indirimle vs. de ancak idare eder bir tercih. Ucuz, bozulursa sorun olmayacak, kalite amacı olmayan kullanımlar için ancak alınır. Bunun dışında firma hızlı, hemen elimize ulaştı ürün, o bakımdan olumlu (zaten çalışır durumda olmasından 1, hızlı gelmesinden 1 yıldız veriyorum).",0,ürün kalite beklenti yanlış tercih indirim göster fiyat kesinlikle alın indirim vs idare tercih ucuz boz sorun kalite amaç kullanım için alın dış firma hız hemen el ulaş ürün bakım olumlu çalış durum hız gel yıldız ver
parasi kadar kaliteli. tekerleri takmak biraz guc istiyor.Ha kirildi ha kirilacak.Takarken dikkatli olunmali.,0,parasi kalite teker tak guc iste ha kiril ha kirilacak tak dikkat olunmali
Aşırı ses yapıyor. Paraya kıyıp düzgün bir şey alın. Bu fiyata anca bu kadar olur,0,aşırı ses para kıy düzgün şey al fiyat anca
Fiyata göre makul ancak biraz daha özenli olabilirdi yani biraz daha:/,0,fiyat göre makul özen
ahım şahım bir ürün değil kargo cular yorulmasin diye iade etmedim,0,ah şahım ürün değil kargo cular yorulmasin iade
Kolayca kurulumunu yaptık çok basit güzel fakat rahat değil bunu düşünerek alın derim,2,kolayca kurul çok basit güzel rahat değil düşün al
ürün hasarlı geldi arka yaşlanma yeri eğri ve plastik kısmı çatlak geldi,0,ürün hasar gel arka yaş yer eğri plastik kısım çatlak gel
Sandalyenin kalite mükemmel deği ama bu fiyata işi görür,0,sandalye kalite mükemmel dek fiyat iş gör
ara baglantisi yok yay kolu var ama yay sistemi yok,0,ara baglanti yok yay kol yay sistem yok
Ofis için uygun değıl çok küçük çocuklara çalışma koltuğu olur ancak,0,ofis için uygun değıl çok küçük çocuk çalış koltuk
ürün iyi ve kullanışlı...Aras kargo berbat...2 saat sıra bekleyerek ürünü aldık,2,ürün iyi kullan aras kargo berbat saat sıra bekle ürün al
Fena değil ama keşke oturma yeri biraz daha derin olsa,2,fena değil keşke otur yer derin
"Kargo biraz gec gelmisti,Sandelye fiyatında göre idare eder.",2,kargo gec gelmisti sandelye fiyat göre idare
Resimdekinin aynı. Oturma yeri çok sert uzun süre oturulduğu da rahatsız ediyo,0,resim aynı otur yer çok sert uzun süre otur rahat ediyo
Güzel ürün kullanımı ve kurulumu gaye4 kolaydı fakat tekerlekler çok sağlam durmuyor,0,güzel ürün kullanım kurul gaye kolay tekerlek çok sağlam dur
2. sınıfa giden oğlum için aldık orta halli iş görür,1,sınıf git oğul için al orta hal iş gör
oturma yeri çok rahat değil gayet uygun fiyata ihtiyaçları karşılayan bir ürün beğendim??,2,otur yer çok rahat değil gayet uygun fiyat ihtiyaç karşıla ürün beğen
Rahat ama esnek degil yinede fiatına göre normal bi ürün,2,rahat esnek degil yinede fiat göre normal ürün
Ürünün oturma yeri çok küçük. Daha çok çocuklar için.,0,ürün otur yer çok küçük çok çocuk için
"Kalitesi hoşuma gitmedi, iade ettim ama kaliteyi sorun etmeyecek herkese tavsiye ederim.",0,kalite hoş git iade kalite sorun tavsiye
oturma ve yaslanma yerleri çok sert. kalan kısımları güzel.,0,otur yasla yer çok sert kal kısım güzel
F/P ürünü çocuklar için ideal.Çok kalite beklemeyin.İş görür yinede,2,f p ürün çocuk için ideal çok kalite bekle iş gör yinede
Fiyatına göre normal biraz küçük gibi geldi ve bir parçası eksik geldi ama o parçasız da iş görüyor,0,fiyat göre normal küçük gel parça eksik gel parça iş gör
Ürün biraz dandik plastık olması kötü ama iş görür,0,ürün dandik plastık kötü iş gör
oturma ve yaslanma yerleri çok sert. kalan kısımları güzel.,0,otur yasla yer çok sert kal kısım güzel
Ürün biraz dandik plastık olması kötü ama iş görür,0,ürün dandik plastık kötü iş gör
Küçük ama fiyatına göre uygun güzel bir ürün,2,küçük fiyat göre uygun güzel ürün
ürünün fiyatına gore kaliteli güzel bir urun,1,ürün fiyat gore kalite güzel ur
Ürün kurulumu kolay fiyat performans iyi,1,ürün kurul kolay fiyat performans iyi
Ürünün fiyatı uygun ve beklediğim gibi geldi,1,ürün fiyat uygun bekle gel
6 yaşında oğlum için aldım çok iyi oldu,1,yaş oğul için al çok iyi
Fena değil ama boyutu çok büyük değil.,2,fena değil boyut çok büyük değil
kurulumu kolay ve kaliteli.,1,kurul kolay kalite
Kurulumu kolay küçük odalar için ideal koltuk,1,kurul kolay küçük oda için ideal koltuk
Fazla rahat değil ama fiyat performans,2,fazla rahat değil fiyat performans
İyi ürün biraz sert ama güzel,2,iyi ürün sert güzel
Beğendik kurulumu kolay hızlı teslimat,1,beğen kurul kolay hız teslimat
Paketlemeyi beğenemedim,0,paketle beğen
kurulumu kolay beğendim,1,kurul kolay beğen
Ürün fiyatına göre iyi,1,ürün fiyat göre iyi
"güzel ürün, kuruluşu zor",2,güzel ürün kuruluş zor
Orta kalitede. Hiç fena değil,2,orta kalite hiç fena değil
Biz siyah istedik mavi geldi ama iyi kullanıyoruz,2,siyah iste mavi gel iyi kullan
Ürün iyi beklentilerimi karşıladı,1,ürün iyi beklenti karşıla
Göründüğünden daha ufak ama iş görür,0,görün ufak iş gör
İdare eder türden fazla bir şey beklememek gerek,2,idare tür fazla şey bekle
çok kaliteli olmasa da idare eder,2,çok kalite idare
kızım icin ideal..odasina aldik guzel,1,kız icin ideal odasina aldik guzel
fiyatına göre iyi bir ürün.,1,fiyat göre iyi ürün
Fena değil ama boyutu çok büyük değil.,2,fena değil boyut çok büyük değil
Küçük ama fiyatına göre uygun güzel bir ürün,2,küçük fiyat göre uygun güzel ürün
Ürün kurulumu kolay fiyat performans iyi,1,ürün kurul kolay fiyat performans iyi
kurulumu kolay beğendim,1,kurul kolay beğen
"fiyatına göre iyi, kurulumu basit oldu.",1,fiyat göre iyi kurul basit
fiyatına göre guzel ürün,1,fiyat göre guzel ürün
ürün fiyatına göre gayet iyi,1,ürün fiyat göre gayet iyi
Bu fiyata anca bu,2,fiyat anca
on numara beş yıldız,1,numara beş yıldız
tek kelime harika,1,tek kelime harika
Sağlam ürün,1,sağlam ürün
Cok rahat,1,rahat
cok kullanisli,1,kullanis
Süper bir sandalye,1,süper sandalye
çok güzel ürün,1,çok güzel ürün
beğendim ıyi,1,beğen ıyi
kullanışlı güzel,1,kullan güzel
Güzel rahat Bi ürün,1,güzel rahat ürün
Çok iyi ????,1,çok iyi
Gayet güzel,1,gayet güzel
on numara beş yıldız,1,numara beş yıldız
Harika çok beğendik,1,harika çok beğen
Güzel ve rahat,1,güzel rahat
Gayet güzel,1,gayet güzel
kullanışlı güzel.,1,kullan güzel
Ürünü begendik,1,ürün begendik
Çok güzel begendim,1,çok güzel begendim
Beğendim fena değil,2,beğen fena değil
urunu cok begendim,1,ur begendim
Rahat ve güzel ??,1,rahat güzel
Uygun ve kullanışlı,1,uygun kullan
beğendim çok güzel,1,beğen çok güzel
Gayet basarili,1,gayet basari
güzel bir ürün,1,güzel ürün
güzel ürün beğendik,1,güzel ürün beğen
Gerçekten güzelmiş.,1,gerçekten güzel
Güzel beğendim,1,güzel beğen
Tesekkurler,1,tesekkurler
cocuklar için sahane,1,cocuklar için sahane
saglam bir urun.,1,saglam ur
kurulumu kolay guzel,1,kurul kolay guzel
güzel ürün,1,güzel ürün
gayet güzel,1,gayet güzel
Şık ve rahat,1,şık rahat
rahat ve güzel,1,rahat güzel
Mükemmel ötesi,1,mükemmel öte
Ürün hem fiyatı uygun hem kalitesi süper olsa bukadar olur,1,ürün fiyat uygun kalite süper bukadar
kaliteli bir ürün. fiyatına göre gayet iyi. memnun kaldık.,1,kalite ürün fiyat göre gayet iyi memnun kal
Ürün çok ufak olduğu için iade ettim paketleme çok kötüydü ben iade ederken firmadan daha özenli paketledim ürünü paketlemek için ayrıca kaplayıcı naylon ve koli aldım,0,ürün çok ufak için iade paketle çok kötü iade firma özen paketle ürün paketle için ayrıca kapla naylon koli al
